"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME (shares)","VALUE (₹ Crores)","52W H ","52W L ","30 D   %CHNG ","365 D % CHNG -"
"SONACOMS","507.00","507.00","491.85","508.90","494.40","-","-14.50","-2.85","7,37,743","36.82","768.65","475.05","-0.66","-26.04"
"NLCINDIA","210.80","212.69","204.55","211.78","205.25","-","-6.53","-3.08","6,18,133","12.90","311.80","186.03","0.99","-9.75"
"MPHASIS","2,445.00","2,449.00","2,360.00","2,452.90","2,376.55","-","-76.35","-3.11","4,79,199","114.95","3,237.95","2,187.00","-16.49","-8.78"
"IREDA","173.55","174.50","167.11","173.55","167.75","-","-5.80","-3.34","38,35,193","65.19","310.00","121.05","-7.14","12.04"
"SIEMENS","4,840.85","4,867.75","4,671.05","4,837.75","4,674.50","-","-163.25","-3.37","2,24,042","105.55","8,129.90","4,495.00","-16.41","5.51"
"ABB","5,301.80","5,317.70","5,110.00","5,301.80","5,120.95","-","-180.85","-3.41","3,24,643","167.77","9,149.95","5,019.75","-12.85","-2.73"
"BIOCON","322.25","322.80","308.65","321.20","310.05","-","-11.15","-3.47","19,33,369","60.67","404.70","244.55","-13.25","16.50"
"DELHIVERY","262.25","264.00","252.35","261.90","252.60","-","-9.30","-3.55","33,38,404","85.60","485.00","252.35","-16.30","-44.36"
"MRPL","114.07","114.57","110.00","114.31","110.10","-","-4.21","-3.68","4,84,072","5.39","259.90","107.75","-9.94","-51.48"
"PHOENIXLTD","1,552.05","1,567.40","1,499.05","1,562.45","1,501.95","-","-60.50","-3.87","10,09,430","154.40","2,068.50","1,215.40","5.29","-44.76"
"BHEL","195.04","195.49","186.50","194.61","186.99","-","-7.62","-3.92","65,23,902","123.70","335.35","183.19","0.04","-12.57"
"RVNL","363.05","364.70","347.40","363.50","348.45","-","-15.05","-4.14","42,04,647","148.75","647.00","213.05","-9.32","36.19"
"PRESTIGE","1,178.95","1,179.00","1,131.00","1,192.00","1,141.10","-","-50.90","-4.27","9,89,446","113.70","2,074.80","967.30","-4.17","-1.48"
"SUZLON","54.64","54.94","51.75","54.58","52.13","-","-2.45","-4.49","2,68,59,981","142.30","86.04","35.50","8.66","-"
"ULTRACEMCO","10,800.00","10,800.00","10,264.40","10,964.15","10,434.30","-","-529.85","-4.83","12,84,652","1,340.86","12,145.35","9,250.00","-2.45","10.18"
"HAVELLS","1,472.00","1,476.00","1,402.20","1,547.90","1,457.25","-","-90.65","-5.86","45,25,231","653.38","2,106.00","1,402.20","2.80","5.36"
"BSE","5,514.95","5,524.00","5,151.70","5,502.00","5,178.90","-","-323.10","-5.87","20,26,743","1,064.53","6,133.40","1,941.05","1.12","129.62"
"VBL","475.50","476.50","439.90","476.50","446.60","-","-29.90","-6.27","1,47,44,835","668.09","681.12","439.90","-9.27","-67.52"
"POLYCAB","5,400.00","5,400.00","4,751.15","5,765.60","4,763.00","-","-1,002.60","-17.39","35,65,454","1,765.05","7,605.00","4,635.05","2.16","20.95"
